Pattern,Components,Score,PrimeProduct
Flush: QJ842,"ranks=Q,J,8,4,2",1206,152830
Flush: JT653,"ranks=J,T,6,5,3",1400,154077
Flush: AJ742,"ranks=A,J,7,4,2",679,154570
Flush: AK832,"ranks=A,K,8,3,2",466,154734
Flush: KT752,"ranks=K,T,7,5,2",1061,154882
Flush: Q7654,"ranks=Q,7,6,5,4",1339,155155
Flush: AT643,"ranks=A,T,6,4,3",740,155595
Flush: T9853,"ranks=T,9,8,5,3",1488,156009
Flush: J9762,"ranks=J,9,7,6,2",1427,157586
Flush: KQT32,"ranks=K,Q,T,3,2",878,158286
Flush: JT852,"ranks=J,T,8,5,2",1385,158746
Flush: AK543,"ranks=A,K,5,4,3",483,159285
Flush: AT842,"ranks=A,T,8,4,2",725,160310
Flush: Q9753,"ranks=Q,9,7,5,3",1304,160797
Flush: A8653,"ranks=A,8,6,5,3",793,161007
Flush: KT942,"ranks=K,T,9,4,2",1038,161690
Flush: K9653,"ranks=K,9,6,5,3",1101,162393
Flush: T9862,"ranks=T,9,8,6,2",1486,163438
Flush: QJ752,"ranks=Q,J,7,5,2",1214,163618
Flush: AJT32,"ranks=A,J,T,3,2",634,164082
Flush: QT653,"ranks=Q,T,6,5,3",1275,164703
Flush: AQ742,"ranks=A,Q,7,4,2",595,165230
Flush: KJ652,"ranks=K,J,6,5,2",1011,165242
Flush: KT743,"ranks=K,T,7,4,3",1062,165945
Flush: AK642,"ranks=A,K,6,4,2",481,166870
Flush: K9852,"ranks=K,9,8,5,2",1086,167314
Flush: T8763,"ranks=T,8,7,6,3",1515,167739
Flush: T9654,"ranks=T,9,6,5,4",1503,168245
Flush: Q9762,"ranks=Q,9,7,6,2",1302,168454
Flush: QT852,"ranks=Q,T,8,5,2",1260,169694
Flush: JT843,"ranks=J,T,8,4,3",1386,170085
Flush: QJ942,"ranks=Q,J,9,4,2",1191,170810
Flush: AT752,"ranks=A,T,7,5,2",733,171626
Flush: K8753,"ranks=K,8,7,5,3",1115,171717
Flush: AK932,"ranks=A,K,9,3,2",451,172938
Flush: QJ743,"ranks=Q,J,7,4,3",1215,175305
Flush: AQT32,"ranks=A,Q,T,3,2",550,175398
Flush: KQ652,"ranks=K,Q,6,5,2",927,176638
Flush: KJ643,"ranks=K,J,6,4,3",1012,177045
Flush: JT952,"ranks=J,T,9,5,2",1370,177422
Flush: T8754,"ranks=T,8,7,5,4",1517,177905
Flush: AT942,"ranks=A,T,9,4,2",710,179170
Flush: K9843,"ranks=K,9,8,4,3",1087,179265
Flush: K8762,"ranks=K,8,7,6,2",1113,179894
Flush: A9653,"ranks=A,9,6,5,3",773,179949
Flush: QT843,"ranks=Q,T,8,4,3",1261,181815
Flush: JT753,"ranks=J,T,7,5,3",1394,182091
Flush: KJ842,"ranks=K,J,8,4,2",997,182410
Flush: AJ652,"ranks=A,J,6,5,2",683,183106
Flush: AT743,"ranks=A,T,7,4,3",734,183885
Flush: K7654,"ranks=K,7,6,5,4",1130,185185
Flush: A9852,"ranks=A,9,8,5,2",758,185402
Flush: T9763,"ranks=T,9,7,6,3",1495,187473
Flush: KQ643,"ranks=K,Q,6,4,3",928,189255
Flush: QT952,"ranks=Q,T,9,5,2",1245,189658
Flush: J8654,"ranks=J,8,6,5,4",1454,189805
Flush: JT943,"ranks=J,T,9,4,3",1371,190095
Flush: A8753,"ranks=A,8,7,5,3",787,190281
Flush: JT762,"ranks=J,T,7,6,2",1392,190762
Flush: K9753,"ranks=K,9,7,5,3",1095,191919
Flush: T9872,"ranks=T,9,8,7,2",1482,193154
Flush: QT753,"ranks=Q,T,7,5,3",1269,194649
Flush: KQ842,"ranks=K,Q,8,4,2",913,194990
Flush: KJ752,"ranks=K,J,7,5,2",1005,195286
Flush: AQ652,"ranks=A,Q,6,5,2",599,195734
Flush: AJ643,"ranks=A,J,6,4,3",684,196185
Flush: KT653,"ranks=K,T,6,5,3",1066,196581
Flush: J9853,"ranks=J,9,8,5,3",1419,196707
Flush: AK742,"ranks=A,K,7,4,2",475,197210
Flush: A9843,"ranks=A,9,8,4,3",759,198645
Flush: T9754,"ranks=T,9,7,5,4",1497,198835
Flush: A8762,"ranks=A,8,7,6,2",785,199342
Flush: KQJ32,"ranks=K,Q,J,3,2",850,199578
Flush: K9762,"ranks=K,9,7,6,2",1093,201058
Flush: AJ842,"ranks=A,J,8,4,2",669,202130
Flush: KT852,"ranks=K,T,8,5,2",1051,202538
Flush: Q8654,"ranks=Q,8,6,5,4",1329,202895
Flush: QT943,"ranks=Q,T,9,4,3",1246,203205
Flush: KJ942,"ranks=K,J,9,4,2",982,203870
Flush: QT762,"ranks=Q,T,7,6,2",1267,203918
Flush: A7654,"ranks=A,7,6,5,4",802,205205
Flush: J9862,"ranks=J,9,8,6,2",1417,206074
